D1,Sentence,D2
2016-06-11,"mauris elit, dictum eu, eleifend",02/18/2017
2017-04-10,lacus. Aliquam rutrum lorem ac,08/12/2016
2017-01-18,"accumsan convallis, ante lectus convallis",03/03/2017
2017-09-27,id ante dictum cursus. Nunc,10/19/2017
2016-10-19,"Suspendisse aliquet, sem ut cursus",01/09/2016
2016-10-06,vitae dolor. Donec fringilla. Donec,11/16/2016
2016-07-25,Duis ac arcu. Nunc mauris.,04/07/2016
2016-10-20,Donec porttitor tellus non magna.,01/14/2016
2017-08-07,tincidunt congue turpis. In condimentum.,12/13/2016
2015-12-21,eu neque pellentesque massa lobortis,12/31/2015
2015-12-09,ornare. Fusce mollis. Duis sit,12/02/2016
2017-09-02,"Nullam enim. Sed nulla ante,",02/18/2017
2017-10-09,Class aptent taciti sociosqu ad,10/13/2017
2017-01-25,vitae aliquam eros turpis non,12/25/2015
2017-03-20,Donec egestas. Duis ac arcu.,03/20/2016
2016-11-29,ac nulla. In tincidunt congue,07/16/2017
2016-02-29,mauris sagittis placerat. Cras dictum,12/18/2015
2015-11-27,sem. Pellentesque ut ipsum ac,03/04/2016
2016-05-24,"posuere, enim nisl elementum purus,",10/26/2016
2016-03-24,ornare. In faucibus. Morbi vehicula.,06/29/2017
2016-10-01,"a, facilisis non, bibendum sed,",05/25/2016
2016-06-26,vel lectus. Cum sociis natoque,11/16/2015
2017-04-07,Aliquam erat volutpat. Nulla facilisis.,11/04/2016
2017-10-11,"lacinia orci, consectetuer euismod est",05/18/2017
2016-04-11,ac mi eleifend egestas. Sed,01/11/2016
2017-01-06,"lacinia orci, consectetuer euismod est",01/03/2016
2016-03-21,"cursus et, eros. Proin ultrices.",07/03/2017
2015-12-19,"in, hendrerit consectetuer, cursus et,",01/04/2017
2016-01-21,"conubia nostra, per inceptos hymenaeos.",06/14/2017
2017-08-01,Aenean eget metus. In nec,03/03/2017
2016-09-21,"purus. Maecenas libero est, congue",10/29/2016
2017-08-21,"nibh enim, gravida sit amet,",11/30/2015
2016-04-15,interdum ligula eu enim. Etiam,10/22/2017
2017-08-24,"sed consequat auctor, nunc nulla",05/24/2017
2017-03-16,eu dui. Cum sociis natoque,01/20/2016
2017-08-22,ligula. Aenean gravida nunc sed,11/01/2017
2017-03-15,fringilla euismod enim. Etiam gravida,07/01/2017
2017-09-26,"Fusce aliquam, enim nec tempus",10/08/2017
2015-11-10,nonummy ipsum non arcu. Vivamus,05/29/2017
2016-11-30,sem. Nulla interdum. Curabitur dictum.,12/27/2016
2015-12-05,"enim nisl elementum purus, accumsan",12/25/2016
2017-11-01,"adipiscing elit. Aliquam auctor, velit",09/06/2017
2016-10-13,"nec, euismod in, dolor. Fusce",01/16/2017
2016-11-07,pulvinar arcu et pede. Nunc,04/26/2017
2017-06-21,ridiculus mus. Proin vel nisl.,10/28/2016
2016-10-22,"dis parturient montes, nascetur ridiculus",08/22/2017
2016-09-01,turpis non enim. Mauris quis,06/12/2016
2016-12-02,facilisis. Suspendisse commodo tincidunt nibh.,02/28/2017
2016-08-23,"mi eleifend egestas. Sed pharetra,",08/22/2017
2016-02-08,pellentesque. Sed dictum. Proin eget,12/13/2016
2016-04-06,"ante blandit viverra. Donec tempus,",11/24/2016
2016-11-03,"Nunc lectus pede, ultrices a,",02/10/2017
2016-08-29,ornare lectus justo eu arcu.,02/04/2016
2017-10-02,pede. Cum sociis natoque penatibus,05/02/2017
2017-06-22,eros nec tellus. Nunc lectus,10/26/2016
2016-03-18,magna. Duis dignissim tempor arcu.,03/22/2016
2017-02-28,"nulla. Integer vulputate, risus a",07/04/2017
2017-03-08,tincidunt vehicula risus. Nulla eget,05/14/2017
2017-04-19,eros. Nam consequat dolor vitae,10/11/2016
2016-07-27,lobortis quam a felis ullamcorper,03/05/2017
2017-01-24,"mauris, aliquam eu, accumsan sed,",03/28/2017
2017-10-26,Vivamus euismod urna. Nullam lobortis,07/17/2017
2016-11-03,"varius ultrices, mauris ipsum porta",10/21/2016
2017-03-18,"placerat, orci lacus vestibulum lorem,",05/26/2017
2016-07-04,Phasellus vitae mauris sit amet,01/02/2017
2016-07-06,ac mattis velit justo nec,09/08/2017
2016-09-25,"consectetuer adipiscing elit. Etiam laoreet,",08/28/2017
2016-01-09,dolor. Quisque tincidunt pede ac,08/31/2017
2015-11-24,ante. Vivamus non lorem vitae,10/31/2017
2016-10-21,ut quam vel sapien imperdiet,03/17/2016
2017-09-20,Quisque varius. Nam porttitor scelerisque,05/19/2017
2016-11-12,egestas. Aliquam fringilla cursus purus.,06/30/2017
2016-12-26,massa rutrum magna. Cras convallis,05/25/2016
2016-07-16,"a, arcu. Sed et libero.",10/09/2017
2016-05-18,sodales elit erat vitae risus.,03/16/2017
2016-05-21,arcu. Nunc mauris. Morbi non,06/28/2017
2016-07-24,gravida mauris ut mi. Duis,11/15/2016
2016-06-26,"sed, est. Nunc laoreet lectus",10/06/2016
2017-07-17,Donec vitae erat vel pede,02/13/2017
2017-02-26,Integer aliquam adipiscing lacus. Ut,08/21/2016
2016-03-16,"diam lorem, auctor quis, tristique",01/08/2016
2016-08-09,magna a tortor. Nunc commodo,11/09/2015
2017-01-09,"pharetra nibh. Aliquam ornare, libero",10/09/2017
2015-11-26,metus vitae velit egestas lacinia.,03/14/2017
2017-07-12,Phasellus dapibus quam quis diam.,06/16/2016
2016-09-26,"mi enim, condimentum eget, volutpat",10/04/2016
2016-02-03,feugiat tellus lorem eu metus.,12/16/2016
2016-09-01,purus gravida sagittis. Duis gravida.,10/23/2017
2016-07-13,"nisi nibh lacinia orci, consectetuer",01/26/2016
2017-06-18,placerat velit. Quisque varius. Nam,09/02/2017
2016-06-30,neque. Morbi quis urna. Nunc,12/24/2016
2016-03-20,mi fringilla mi lacinia mattis.,04/02/2016
2016-02-29,"dis parturient montes, nascetur ridiculus",08/07/2017
2017-02-20,quis turpis vitae purus gravida,08/25/2017
2016-01-01,"iaculis quis, pede. Praesent eu",09/13/2017
2017-07-24,congue. In scelerisque scelerisque dui.,06/26/2017
2017-09-23,sapien. Aenean massa. Integer vitae,05/25/2016
2016-02-15,"et, commodo at, libero. Morbi",09/06/2016
2017-03-06,fermentum convallis ligula. Donec luctus,09/26/2016
2017-08-15,Nullam nisl. Maecenas malesuada fringilla,05/19/2017